filename,class,xmin,ymin,xmax,ymax
C:\Users\ASUS\Desktop\deeplearning-project\CLHAE_images\image_29.jpg,node,19,20,31,31
C:\Users\ASUS\Desktop\deeplearning-project\CLHAE_images\image_29.jpg,node,6,1,16,12
C:\Users\ASUS\Desktop\deeplearning-project\CLHAE_images\image_29.jpg,node,1,39,5,43
C:\Users\ASUS\Desktop\deeplearning-project\CLHAE_images\image_29.jpg,node,1,44,5,48
C:\Users\ASUS\Desktop\deeplearning-project\CLHAE_images\image_15.jpg,node,18,12,25,19
C:\Users\ASUS\Desktop\deeplearning-project\CLHAE_images\image_15.jpg,node,40,38,50,47
C:\Users\ASUS\Desktop\deeplearning-project\CLHAE_images\image_14.jpg,node,35,14,48,34
C:\Users\ASUS\Desktop\deeplearning-project\CLHAE_images\image_28.jpg,node,22,22,28,31
C:\Users\ASUS\Desktop\deeplearning-project\CLHAE_images\image_28.jpg,node,1,23,8,32
C:\Users\ASUS\Desktop\deeplearning-project\CLHAE_images\image_28.jpg,node,38,2,45,11
C:\Users\ASUS\Desktop\deeplearning-project\CLHAE_images\image_28.jpg,node,44,1,50,13
C:\Users\ASUS\Desktop\deeplearning-project\CLHAE_images\image_28.jpg,node,17,4,28,14
C:\Users\ASUS\Desktop\deeplearning-project\CLHAE_images\image_17.jpg,node,20,16,29,29
C:\Users\ASUS\Desktop\deeplearning-project\CLHAE_images\image_13.jpg,node,25,15,47,37
C:\Users\ASUS\Desktop\deeplearning-project\CLHAE_images\image_12.jpg,node,15,16,37,32
C:\Users\ASUS\Desktop\deeplearning-project\CLHAE_images\image_10.jpg,node,4,39,9,44
C:\Users\ASUS\Desktop\deeplearning-project\CLHAE_images\image_38.jpg,node,15,4,20,10
C:\Users\ASUS\Desktop\deeplearning-project\CLHAE_images\image_38.jpg,node,26,9,35,15
C:\Users\ASUS\Desktop\deeplearning-project\CLHAE_images\image_39.jpg,node,22,22,29,30
C:\Users\ASUS\Desktop\deeplearning-project\CLHAE_images\image_39.jpg,node,11,30,17,37
C:\Users\ASUS\Desktop\deeplearning-project\CLHAE_images\image_39.jpg,node,26,32,34,38
C:\Users\ASUS\Desktop\deeplearning-project\CLHAE_images\image_11.jpg,node,2,8,12,21
C:\Users\ASUS\Desktop\deeplearning-project\CLHAE_images\image_11.jpg,node,23,33,34,46
C:\Users\ASUS\Desktop\deeplearning-project\CLHAE_images\image_11.jpg,node,5,21,19,31
C:\Users\ASUS\Desktop\deeplearning-project\CLHAE_images\image_11.jpg,node,18,21,30,32
C:\Users\ASUS\Desktop\deeplearning-project\CLHAE_images\image_89.jpg,node,36,40,43,46
C:\Users\ASUS\Desktop\deeplearning-project\CLHAE_images\image_89.jpg,node,19,40,26,46
C:\Users\ASUS\Desktop\deeplearning-project\CLHAE_images\image_89.jpg,node,23,21,33,31
C:\Users\ASUS\Desktop\deeplearning-project\CLHAE_images\image_89.jpg,node,27,8,40,20
C:\Users\ASUS\Desktop\deeplearning-project\CLHAE_images\image_89.jpg,node,29,44,35,50
C:\Users\ASUS\Desktop\deeplearning-project\CLHAE_images\image_89.jpg,node,32,28,41,34
C:\Users\ASUS\Desktop\deeplearning-project\CLHAE_images\image_63.jpg,node,1,24,13,42
C:\Users\ASUS\Desktop\deeplearning-project\CLHAE_images\image_49.jpg,node,21,26,31,35
