filename,class,xmin,ymin,xmax,ymax
image_29.jpg,node,19,20,31,31
image_29.jpg,node,6,1,16,12
image_29.jpg,node,1,39,5,43
image_29.jpg,node,1,44,5,48
image_15.jpg,node,18,12,25,19
image_15.jpg,node,40,38,50,47
image_14.jpg,node,35,14,48,34
image_28.jpg,node,22,22,28,31
image_28.jpg,node,1,23,8,32
image_28.jpg,node,38,2,45,11
image_28.jpg,node,44,1,50,13
image_28.jpg,node,17,4,28,14
image_17.jpg,node,20,16,29,29
image_13.jpg,node,25,15,47,37
image_12.jpg,node,15,16,37,32
image_10.jpg,node,4,39,9,44
image_38.jpg,node,15,4,20,10
image_38.jpg,node,26,9,35,15
image_39.jpg,node,22,22,29,30
image_39.jpg,node,11,30,17,37
image_39.jpg,node,26,32,34,38
image_11.jpg,node,2,8,12,21
image_11.jpg,node,23,33,34,46
image_11.jpg,node,5,21,19,31
image_11.jpg,node,18,21,30,32
image_89.jpg,node,36,40,43,46
image_89.jpg,node,19,40,26,46
image_89.jpg,node,23,21,33,31
image_89.jpg,node,27,8,40,20
image_89.jpg,node,29,44,35,50
image_89.jpg,node,32,28,41,34
image_63.jpg,node,1,24,13,42
image_49.jpg,node,21,26,31,35
image_49.jpg,node,43,16,50,25
image_61.jpg,node,13,5,20,18
image_61.jpg,node,22,20,32,28
image_75.jpg,node,21,18,32,31
image_75.jpg,node,28,30,35,41
image_74.jpg,node,12,36,18,43
image_74.jpg,node,27,4,33,10
image_48.jpg,node,33,12,47,27
image_48.jpg,node,28,1,49,13
image_48.jpg,node,29,30,44,45
image_48.jpg,node,1,21,11,43
image_48.jpg,node,18,20,32,32
image_9.jpg,node,1,25,10,35
image_9.jpg,node,43,33,50,48
image_9.jpg,node,10,17,34,40
image_9.jpg,node,1,1,10,5
image_59.jpg,node,6,27,17,43
image_71.jpg,node,1,29,7,38
image_71.jpg,node,3,45,12,50
image_94.jpg,node,4,3,38,38
image_80.jpg,node,26,36,37,46
image_80.jpg,node,6,6,17,12
image_80.jpg,node,38,15,50,24
image_2.jpg,node,19,20,31,32
image_43.jpg,node,18,20,50,50
image_42.jpg,node,36,43,41,49
image_3.jpg,node,12,44,16,49
image_56.jpg,node,16,9,41,39
image_56.jpg,node,23,40,30,46
image_56.jpg,node,1,1,10,13
image_56.jpg,node,4,15,16,26
image_56.jpg,node,3,29,12,38
image_56.jpg,node,14,41,22,50
image_95.jpg,node,22,32,33,43
image_95.jpg,node,21,45,33,50
image_83.jpg,node,16,35,26,45
image_83.jpg,node,15,27,26,35
image_40.jpg,node,22,22,31,30
image_54.jpg,node,37,24,47,32
image_54.jpg,node,23,42,28,49
image_54.jpg,node,16,43,23,48
image_54.jpg,node,25,38,35,44
image_54.jpg,node,23,23,28,28
image_55.jpg,node,22,22,29,28
image_55.jpg,node,43,14,49,21
image_55.jpg,node,27,30,31,36
image_0.jpg,node,18,7,25,12
image_86.jpg,node,18,22,24,30
image_86.jpg,node,27,1,34,7
image_86.jpg,node,9,1,16,7
image_86.jpg,node,5,10,15,17
image_92.jpg,node,17,18,32,33
image_45.jpg,node,37,26,45,35
image_45.jpg,node,1,7,27,46
image_45.jpg,node,36,6,50,22
image_4.jpg,node,41,1,50,7
image_4.jpg,node,23,5,28,12
image_4.jpg,node,11,1,22,10
image_4.jpg,node,19,16,27,22
image_4.jpg,node,1,1,4,7
image_51.jpg,node,34,33,41,39
image_51.jpg,node,36,1,48,8
image_78.jpg,node,23,37,30,44
image_78.jpg,node,20,21,31,29
image_78.jpg,node,37,35,43,41
image_78.jpg,node,7,26,13,33
image_78.jpg,node,45,23,50,30
image_78.jpg,node,33,45,40,50
image_5.jpg,node,42,1,50,6
image_5.jpg,node,42,17,48,24
image_50.jpg,node,18,41,24,47
image_50.jpg,node,12,30,19,35
image_50.jpg,node,19,17,25,24
image_50.jpg,node,8,15,12,19
image_87.jpg,node,32,33,42,48
image_91.jpg,node,18,20,30,31
image_91.jpg,node,25,34,34,47
image_85.jpg,node,7,17,18,25
image_85.jpg,node,2,3,15,11
image_85.jpg,node,15,41,23,50
image_85.jpg,node,20,21,35,33
image_85.jpg,node,33,37,46,46
image_52.jpg,node,39,21,50,32
