filename,class,xmin,ymin,xmax,ymax
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_0.jpg,node,19,8,25,13
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_10.jpg,node,5,39,9,44
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_11.jpg,node,23,32,34,45
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_11.jpg,node,2,14,12,21
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_11.jpg,node,6,21,18,31
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_11.jpg,node,17,20,31,33
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_12.jpg,node,18,18,34,32
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_13.jpg,node,25,15,48,38
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_14.jpg,node,32,32,39,44
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_14.jpg,node,35,9,46,18
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_14.jpg,node,36,19,50,36
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_19.jpg,node,5,26,12,33
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_19.jpg,node,26,10,37,16
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_19.jpg,node,31,1,37,3
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_19.jpg,node,15,43,20,48
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_19.jpg,node,23,21,28,29
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_19.jpg,node,13,13,17,17
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_19.jpg,node,32,24,36,29
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_2.jpg,node,22,22,29,30
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_2.jpg,node,1,16,10,30
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_2.jpg,node,1,44,6,49
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_2.jpg,node,42,1,50,9
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_20.jpg,node,24,10,30,16
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_20.jpg,node,33,1,43,12
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_21.jpg,node,36,23,50,42
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_21.jpg,node,10,15,14,22
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_22.jpg,node,42,35,50,45
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_22.jpg,node,1,1,30,38
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_24.jpg,node,3,2,9,10
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_25.jpg,node,19,17,33,30
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_25.jpg,node,45,19,50,26
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_25.jpg,node,21,43,26,47
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_25.jpg,node,4,44,8,48
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_27.jpg,node,20,17,32,31
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_27.jpg,node,29,27,35,31
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_28.jpg,node,39,2,45,9
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_28.jpg,node,2,25,7,31
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_28.jpg,node,18,5,27,13
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_29.jpg,node,5,1,16,11
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_29.jpg,node,18,20,31,30
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_29.jpg,node,19,31,35,39
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_30.jpg,node,6,5,16,12
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_30.jpg,node,19,19,31,32
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_30.jpg,node,23,32,50,50
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_31.jpg,node,6,1,11,6
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_31.jpg,node,39,11,47,17
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_31.jpg,node,29,30,36,35
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_31.jpg,node,12,46,22,50
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_31.jpg,node,17,29,21,35
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_31.jpg,node,22,16,31,35
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_32.jpg,node,36,40,41,46
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_32.jpg,node,33,3,40,12
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_32.jpg,node,24,23,29,28
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_33.jpg,node,2,35,8,40
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_34.jpg,node,14,23,21,34
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_35.jpg,node,29,31,48,39
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_36.jpg,node,6,30,23,45
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_36.jpg,node,18,3,50,39
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_38.jpg,node,28,10,35,15
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_39.jpg,node,22,23,28,29
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_39.jpg,node,27,33,33,37
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_39.jpg,node,12,31,17,36
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_4.jpg,node,41,1,50,6
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_4.jpg,node,20,16,27,22
C:\Users\ASUS\Desktop\deeplearning-project\dataset\image_4.jpg,node,11,2,21,11
