filename,class,xmin,ymin,xmax,ymax
image_11_wiener_filtered.jpg,node,23,33,35,48
image_11_wiener_filtered.jpg,node,1,35,7,49
image_11_wiener_filtered.jpg,node,1,13,34,33
image_11_wiener_filtered.jpg,node,23,33,35,48
image_12_wiener_filtered.jpg,node,16,19,32,30
image_13_wiener_filtered.jpg,node,23,1,50,43
image_14_wiener_filtered.jpg,node,36,9,49,37
image_14_wiener_filtered.jpg,node,30,31,40,43
image_14_wiener_filtered.jpg,node,1,16,6,44
image_15_wiener_filtered.jpg,node,21,22,33,36
image_17_wiener_filtered.jpg,node,1,34,19,50
image_18_wiener_filtered.jpg,node,18,20,30,30
image_19_wiener_filtered.jpg,node,4,25,12,33
image_19_wiener_filtered.jpg,node,25,9,38,17
image_19_wiener_filtered.jpg,node,34,27,50,50
image_20_wiener_filtered.jpg,node,32,1,43,12
image_20_wiener_filtered.jpg,node,22,10,31,18
image_20_wiener_filtered.jpg,node,19,23,31,32
image_22_wiener_filtered.jpg,node,41,35,50,46
image_22_wiener_filtered.jpg,node,1,1,32,39
image_23_wiener_filtered.jpg,node,19,19,33,35
image_23_wiener_filtered.jpg,node,10,1,22,14
image_24_wiener_filtered.jpg,node,2,2,10,10
image_27_wiener_filtered.jpg,node,19,18,33,30
image_27_wiener_filtered.jpg,node,12,4,21,14
image_29_wiener_filtered.jpg,node,5,1,16,11
image_29_wiener_filtered.jpg,node,19,21,31,30
image_2_wiener_filtered.jpg,node,20,21,30,30
image_2_wiener_filtered.jpg,node,39,1,50,11
image_2_wiener_filtered.jpg,node,2,16,11,29
image_2_wiener_filtered.jpg,node,31,37,48,50
image_2_wiener_filtered.jpg,node,1,43,5,50
image_30_wiener_filtered.jpg,node,20,19,32,32
image_30_wiener_filtered.jpg,node,8,5,17,12
image_31_wiener_filtered.jpg,node,38,10,48,19
image_31_wiener_filtered.jpg,node,21,17,32,34
image_31_wiener_filtered.jpg,node,5,1,12,7
image_34_wiener_filtered.jpg,node,12,23,20,33
image_36_wiener_filtered.jpg,node,7,30,23,46
image_36_wiener_filtered.jpg,node,17,1,50,40
image_38_wiener_filtered.jpg,node,22,20,31,30
image_3_wiener_filtered.jpg,node,18,22,35,31
image_40_wiener_filtered.jpg,node,22,22,28,29
image_41_wiener_filtered.jpg,node,1,32,17,50
image_42_wiener_filtered.jpg,node,35,43,42,50
image_42_wiener_filtered.jpg,node,20,2,31,12
image_44_wiener_filtered.jpg,node,20,19,32,30
image_45_wiener_filtered.jpg,node,34,5,50,21
image_45_wiener_filtered.jpg,node,1,7,30,50
image_46_wiener_filtered.jpg,node,2,11,15,23
image_46_wiener_filtered.jpg,node,3,43,14,50
image_46_wiener_filtered.jpg,node,10,19,45,50
image_47_wiener_filtered.jpg,node,4,1,12,8
image_47_wiener_filtered.jpg,node,10,4,19,21
image_48_wiener_filtered.jpg,node,30,31,43,46
image_48_wiener_filtered.jpg,node,35,16,47,27
image_48_wiener_filtered.jpg,node,15,16,31,32
image_48_wiener_filtered.jpg,node,1,21,12,41
image_48_wiener_filtered.jpg,node,27,1,49,13
image_4_wiener_filtered.jpg,node,41,1,50,7
image_4_wiener_filtered.jpg,node,12,1,31,23
image_50_wiener_filtered.jpg,node,39,43,49,50
image_51_wiener_filtered.jpg,node,12,10,50,35
image_52_wiener_filtered.jpg,node,40,22,50,32
image_52_wiener_filtered.jpg,node,40,8,50,22
image_52_wiener_filtered.jpg,node,19,22,33,32
image_52_wiener_filtered.jpg,node,11,32,22,41
image_52_wiener_filtered.jpg,node,2,40,12,48
image_56_wiener_filtered.jpg,node,1,1,11,13
image_56_wiener_filtered.jpg,node,4,16,14,26
image_56_wiener_filtered.jpg,node,1,28,11,38
image_56_wiener_filtered.jpg,node,12,41,23,50
image_56_wiener_filtered.jpg,node,13,7,42,43
image_58_wiener_filtered.jpg,node,1,1,50,28
image_59_wiener_filtered.jpg,node,7,29,18,40
image_61_wiener_filtered.jpg,node,22,21,33,29
image_61_wiener_filtered.jpg,node,12,5,22,18
image_61_wiener_filtered.jpg,node,1,6,9,17
image_65_wiener_filtered.jpg,node,1,12,16,19
image_68_wiener_filtered.jpg,node,21,20,31,30
image_71_wiener_filtered.jpg,node,1,29,8,39
image_71_wiener_filtered.jpg,node,36,1,50,8
image_71_wiener_filtered.jpg,node,5,46,12,50
image_71_wiener_filtered.jpg,node,3,3,13,10
image_75_wiener_filtered.jpg,node,7,18,31,35
image_78_wiener_filtered.jpg,node,19,21,32,30
image_78_wiener_filtered.jpg,node,23,39,31,46
image_78_wiener_filtered.jpg,node,6,26,14,33
image_7_wiener_filtered.jpg,node,11,20,46,50
image_80_wiener_filtered.jpg,node,26,36,37,46
image_80_wiener_filtered.jpg,node,21,22,36,32
image_80_wiener_filtered.jpg,node,5,5,16,13
image_80_wiener_filtered.jpg,node,42,14,50,24
image_80_wiener_filtered.jpg,node,1,33,9,46
image_82_wiener_filtered.jpg,node,3,14,16,50
image_83_wiener_filtered.jpg,node,14,26,26,34
image_83_wiener_filtered.jpg,node,14,34,25,44
image_85_wiener_filtered.jpg,node,32,36,46,47
image_85_wiener_filtered.jpg,node,13,41,26,50
image_85_wiener_filtered.jpg,node,20,22,34,33
image_85_wiener_filtered.jpg,node,6,15,20,27
image_86_wiener_filtered.jpg,node,26,1,35,7
image_86_wiener_filtered.jpg,node,8,1,17,8
image_86_wiener_filtered.jpg,node,1,6,16,17
image_87_wiener_filtered.jpg,node,28,33,45,49
image_87_wiener_filtered.jpg,node,40,21,50,30
image_87_wiener_filtered.jpg,node,20,21,29,30
image_87_wiener_filtered.jpg,node,1,1,28,8
image_88_wiener_filtered.jpg,node,9,8,16,16
image_89_wiener_filtered.jpg,node,27,7,40,22
image_89_wiener_filtered.jpg,node,28,44,36,50
image_8_wiener_filtered.jpg,node,39,19,48,29
image_90_wiener_filtered.jpg,node,19,21,32,35
image_90_wiener_filtered.jpg,node,33,14,50,33
image_90_wiener_filtered.jpg,node,17,1,40,7
image_90_wiener_filtered.jpg,node,1,1,18,42
image_91_wiener_filtered.jpg,node,25,35,35,47
image_91_wiener_filtered.jpg,node,19,20,30,31
image_91_wiener_filtered.jpg,node,30,16,49,42
image_92_wiener_filtered.jpg,node,14,17,34,34
image_94_wiener_filtered.jpg,node,4,4,38,39
image_95_wiener_filtered.jpg,node,21,32,34,44
image_95_wiener_filtered.jpg,node,21,44,37,50
image_95_wiener_filtered.jpg,node,16,16,31,30
image_9_wiener_filtered.jpg,node,43,34,50,49
image_9_wiener_filtered.jpg,node,1,1,9,5
image_9_wiener_filtered.jpg,node,1,6,33,43
